chrom,chromStart,chromEnd,num_sites,exp_pi,B
22,0,10000,10000,0.0013729457157343557,0.9991553374928931
22,10000,20000,10000,0.0013729457157343557,0.9991553374928931
22,20000,30000,10000,0.0013729457157343557,0.9991553374928931
22,30000,40000,10000,0.0013729457157343557,0.9991553374928931
22,40000,50000,10000,0.0013729457157343557,0.9991553374928931
22,50000,60000,10000,0.0013729457157343557,0.9991553374928931
22,60000,70000,10000,0.0013729457157343557,0.9991553374928931
22,70000,80000,10000,0.0013729457157343557,0.9991553374928931
22,80000,90000,10000,0.0013729457157343557,0.9991553374928931
22,90000,100000,10000,0.0013729457157343557,0.9991553374928931
22,100000,110000,10000,0.0013729457157343557,0.9991553374928931
22,110000,120000,10000,0.0013729457157343557,0.9991553374928931
22,120000,130000,10000,0.0013729457157343557,0.9991553374928931
22,130000,140000,10000,0.0013729457157343557,0.9991553374928931
22,140000,150000,10000,0.0013729457157343557,0.9991553374928931
22,150000,160000,10000,0.0013729457157343557,0.9991553374928931
22,160000,170000,10000,0.0013729457157343557,0.9991553374928931
22,170000,180000,10000,0.0013729457157343557,0.9991553374928931
22,180000,190000,10000,0.0013729457157343557,0.9991553374928931
22,190000,200000,10000,0.0013729457157343557,0.9991553374928931
22,200000,210000,10000,0.0013729457157343557,0.9991553374928931
22,210000,220000,10000,0.0013729457157343557,0.9991553374928931
22,220000,230000,10000,0.0013729457157343557,0.9991553374928931
22,230000,240000,10000,0.0013729457157343557,0.9991553374928931
22,240000,250000,10000,0.0013729457157343557,0.9991553374928931
22,250000,260000,10000,0.0013729457157343557,0.9991553374928931
22,260000,270000,10000,0.0013729457157343557,0.9991553374928931
22,270000,280000,10000,0.0013729457157343557,0.9991553374928931
22,280000,290000,10000,0.0013729457157343557,0.9991553374928931
22,290000,300000,10000,0.0013729457157343557,0.9991553374928931
22,300000,310000,10000,0.0013729457157343557,0.9991553374928931
22,310000,320000,10000,0.0013729457157343557,0.9991553374928931
22,320000,330000,10000,0.0013729457157343557,0.9991553374928931
22,330000,340000,10000,0.0013729457157343557,0.9991553374928931
22,340000,350000,10000,0.0013729457157343557,0.9991553374928931
22,350000,360000,10000,0.0013729457157343557,0.9991553374928931
22,360000,370000,10000,0.0013729457157343557,0.9991553374928931
